"Sample Name"	"Protocol REF"	"Parameter Value[Post Extraction]"	"Parameter Value[Derivatization]"	"Extract Name"	"Protocol REF"	"Parameter Value[Chromatography Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Column model]"	"Parameter Value[Column type]"	"Labeled Extract Name"	"Label"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Parameter Value[Scan polarity]"	"Parameter Value[Scan m/z range]"	"Parameter Value[Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Ion source]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Mass analyzer]"	"Term Source REF"	"Term Accession Number"	"MS Assay Name"	"Raw Spectral Data File"	"Protocol REF"	"Normalization Name"	"Derived Spectral Data File"	"Protocol REF"	"Data Transformation Name"	"Metabolite Assignment File"
"20181002_QC_10"	"Extraction"	"methanol"	"none"	"NA"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC BEH HILIC (1.7 µm, 2.1 mm x 150 mm; Waters)"	"HILIC"	"NA"	"NA"	""	""	"Mass spectrometry"	"negative"	"50-1200"	"Waters SYNAPT G2-Si HDMS"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"20181002_QC_10"	"20181002_QC_10.raw"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls1267_NEG_HILIC_mass_spectrometry_v2_maf.tsv"
"20181002_QC_11"	"Extraction"	"methanol"	"none"	"NA"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC BEH HILIC (1.7 µm, 2.1 mm x 150 mm; Waters)"	"HILIC"	"NA"	"NA"	""	""	"Mass spectrometry"	"negative"	"50-1200"	"Waters SYNAPT G2-Si HDMS"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"20181002_QC_11"	"20181002_QC_11.raw"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls1267_NEG_HILIC_mass_spectrometry_v2_maf.tsv"
"20180928_QC_13"	"Extraction"	"methanol"	"none"	"NA"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC BEH HILIC (1.7 µm, 2.1 mm x 150 mm; Waters)"	"HILIC"	"NA"	"NA"	""	""	"Mass spectrometry"	"negative"	"50-1200"	"Waters SYNAPT G2-Si HDMS"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"20180928_QC_13"	"20180928_QC_13.raw"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls1267_NEG_HILIC_mass_spectrometry_v2_maf.tsv"
"20180928_QC_14"	"Extraction"	"methanol"	"none"	"NA"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC BEH HILIC (1.7 µm, 2.1 mm x 150 mm; Waters)"	"HILIC"	"NA"	"NA"	""	""	"Mass spectrometry"	"negative"	"50-1200"	"Waters SYNAPT G2-Si HDMS"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"20180928_QC_14"	"20180928_QC_14.raw"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls1267_NEG_HILIC_mass_spectrometry_v2_maf.tsv"
"20180928_QC_15"	"Extraction"	"methanol"	"none"	"NA"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC BEH HILIC (1.7 µm, 2.1 mm x 150 mm; Waters)"	"HILIC"	"NA"	"NA"	""	""	"Mass spectrometry"	"negative"	"50-1200"	"Waters SYNAPT G2-Si HDMS"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"20180928_QC_15"	"20180928_QC_15.raw"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls1267_NEG_HILIC_mass_spectrometry_v2_maf.tsv"
"20180928_QC_16"	"Extraction"	"methanol"	"none"	"NA"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC BEH HILIC (1.7 µm, 2.1 mm x 150 mm; Waters)"	"HILIC"	"NA"	"NA"	""	""	"Mass spectrometry"	"negative"	"50-1200"	"Waters SYNAPT G2-Si HDMS"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"20180928_QC_16"	"20180928_QC_16.raw"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls1267_NEG_HILIC_mass_spectrometry_v2_maf.tsv"
"20180928_QC_17"	"Extraction"	"methanol"	"none"	"NA"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC BEH HILIC (1.7 µm, 2.1 mm x 150 mm; Waters)"	"HILIC"	"NA"	"NA"	""	""	"Mass spectrometry"	"negative"	"50-1200"	"Waters SYNAPT G2-Si HDMS"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"20180928_QC_17"	"20180928_QC_17.raw"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls1267_NEG_HILIC_mass_spectrometry_v2_maf.tsv"
"20180928_QC_18"	"Extraction"	"methanol"	"none"	"NA"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC BEH HILIC (1.7 µm, 2.1 mm x 150 mm; Waters)"	"HILIC"	"NA"	"NA"	""	""	"Mass spectrometry"	"negative"	"50-1200"	"Waters SYNAPT G2-Si HDMS"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"20180928_QC_18"	"20180928_QC_18.raw"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls1267_NEG_HILIC_mass_spectrometry_v2_maf.tsv"
"20180928_QC_19"	"Extraction"	"methanol"	"none"	"NA"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC BEH HILIC (1.7 µm, 2.1 mm x 150 mm; Waters)"	"HILIC"	"NA"	"NA"	""	""	"Mass spectrometry"	"negative"	"50-1200"	"Waters SYNAPT G2-Si HDMS"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"20180928_QC_19"	"20180928_QC_19.raw"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls1267_NEG_HILIC_mass_spectrometry_v2_maf.tsv"
"20180928_QC_20"	"Extraction"	"methanol"	"none"	"NA"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC BEH HILIC (1.7 µm, 2.1 mm x 150 mm; Waters)"	"HILIC"	"NA"	"NA"	""	""	"Mass spectrometry"	"negative"	"50-1200"	"Waters SYNAPT G2-Si HDMS"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"20180928_QC_20"	"20180928_QC_20.raw"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls1267_NEG_HILIC_mass_spectrometry_v2_maf.tsv"
"20180928_QC_21"	"Extraction"	"methanol"	"none"	"NA"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC BEH HILIC (1.7 µm, 2.1 mm x 150 mm; Waters)"	"HILIC"	"NA"	"NA"	""	""	"Mass spectrometry"	"negative"	"50-1200"	"Waters SYNAPT G2-Si HDMS"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"20180928_QC_21"	"20180928_QC_21.raw"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls1267_NEG_HILIC_mass_spectrometry_v2_maf.tsv"
"20180928_QC_22"	"Extraction"	"methanol"	"none"	"NA"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC BEH HILIC (1.7 µm, 2.1 mm x 150 mm; Waters)"	"HILIC"	"NA"	"NA"	""	""	"Mass spectrometry"	"negative"	"50-1200"	"Waters SYNAPT G2-Si HDMS"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"20180928_QC_22"	"20180928_QC_22.raw"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls1267_NEG_HILIC_mass_spectrometry_v2_maf.tsv"
"20180928_QC_23"	"Extraction"	"methanol"	"none"	"NA"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC BEH HILIC (1.7 µm, 2.1 mm x 150 mm; Waters)"	"HILIC"	"NA"	"NA"	""	""	"Mass spectrometry"	"negative"	"50-1200"	"Waters SYNAPT G2-Si HDMS"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"20180928_QC_23"	"20180928_QC_23.raw"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls1267_NEG_HILIC_mass_spectrometry_v2_maf.tsv"
"20180924_R001"	"Extraction"	"methanol"	"none"	"NA"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC BEH HILIC (1.7 µm, 2.1 mm x 150 mm; Waters)"	"HILIC"	"NA"	"NA"	""	""	"Mass spectrometry"	"negative"	"50-1200"	"Waters SYNAPT G2-Si HDMS"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"20180924_R001"	"20180924_R001.raw"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls1267_NEG_HILIC_mass_spectrometry_v2_maf.tsv"
"20180924_R004"	"Extraction"	"methanol"	"none"	"NA"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC BEH HILIC (1.7 µm, 2.1 mm x 150 mm; Waters)"	"HILIC"	"NA"	"NA"	""	""	"Mass spectrometry"	"negative"	"50-1200"	"Waters SYNAPT G2-Si HDMS"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"20180924_R004"	"20180924_R004.raw"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls1267_NEG_HILIC_mass_spectrometry_v2_maf.tsv"
"20180924_R005"	"Extraction"	"methanol"	"none"	"NA"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC BEH HILIC (1.7 µm, 2.1 mm x 150 mm; Waters)"	"HILIC"	"NA"	"NA"	""	""	"Mass spectrometry"	"negative"	"50-1200"	"Waters SYNAPT G2-Si HDMS"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"20180924_R005"	"20180924_R005.raw"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls1267_NEG_HILIC_mass_spectrometry_v2_maf.tsv"
"20180924_R006"	"Extraction"	"methanol"	"none"	"NA"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC BEH HILIC (1.7 µm, 2.1 mm x 150 mm; Waters)"	"HILIC"	"NA"	"NA"	""	""	"Mass spectrometry"	"negative"	"50-1200"	"Waters SYNAPT G2-Si HDMS"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"20180924_R006"	"20180924_R006.raw"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls1267_NEG_HILIC_mass_spectrometry_v2_maf.tsv"
"20180924_R007"	"Extraction"	"methanol"	"none"	"NA"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC BEH HILIC (1.7 µm, 2.1 mm x 150 mm; Waters)"	"HILIC"	"NA"	"NA"	""	""	"Mass spectrometry"	"negative"	"50-1200"	"Waters SYNAPT G2-Si HDMS"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"20180924_R007"	"20180924_R007.raw"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls1267_NEG_HILIC_mass_spectrometry_v2_maf.tsv"
"20180924_R008"	"Extraction"	"methanol"	"none"	"NA"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC BEH HILIC (1.7 µm, 2.1 mm x 150 mm; Waters)"	"HILIC"	"NA"	"NA"	""	""	"Mass spectrometry"	"negative"	"50-1200"	"Waters SYNAPT G2-Si HDMS"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"20180924_R008"	"20180924_R008.raw"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls1267_NEG_HILIC_mass_spectrometry_v2_maf.tsv"
"20180924_R009"	"Extraction"	"methanol"	"none"	"NA"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC BEH HILIC (1.7 µm, 2.1 mm x 150 mm; Waters)"	"HILIC"	"NA"	"NA"	""	""	"Mass spectrometry"	"negative"	"50-1200"	"Waters SYNAPT G2-Si HDMS"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"20180924_R009"	"20180924_R009.raw"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls1267_NEG_HILIC_mass_spectrometry_v2_maf.tsv"
"20180924_R010"	"Extraction"	"methanol"	"none"	"NA"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC BEH HILIC (1.7 µm, 2.1 mm x 150 mm; Waters)"	"HILIC"	"NA"	"NA"	""	""	"Mass spectrometry"	"negative"	"50-1200"	"Waters SYNAPT G2-Si HDMS"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"20180924_R010"	"20180924_R010.raw"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls1267_NEG_HILIC_mass_spectrometry_v2_maf.tsv"
"20180924_R011"	"Extraction"	"methanol"	"none"	"NA"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC BEH HILIC (1.7 µm, 2.1 mm x 150 mm; Waters)"	"HILIC"	"NA"	"NA"	""	""	"Mass spectrometry"	"negative"	"50-1200"	"Waters SYNAPT G2-Si HDMS"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"20180924_R011"	"20180924_R011.raw"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls1267_NEG_HILIC_mass_spectrometry_v2_maf.tsv"
"20180924_R012"	"Extraction"	"methanol"	"none"	"NA"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC BEH HILIC (1.7 µm, 2.1 mm x 150 mm; Waters)"	"HILIC"	"NA"	"NA"	""	""	"Mass spectrometry"	"negative"	"50-1200"	"Waters SYNAPT G2-Si HDMS"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"20180924_R012"	"20180924_R012.raw"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls1267_NEG_HILIC_mass_spectrometry_v2_maf.tsv"
"20180924_R013"	"Extraction"	"methanol"	"none"	"NA"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC BEH HILIC (1.7 µm, 2.1 mm x 150 mm; Waters)"	"HILIC"	"NA"	"NA"	""	""	"Mass spectrometry"	"negative"	"50-1200"	"Waters SYNAPT G2-Si HDMS"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"20180924_R013"	"20180924_R013.raw"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls1267_NEG_HILIC_mass_spectrometry_v2_maf.tsv"
"20180924_R014"	"Extraction"	"methanol"	"none"	"NA"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC BEH HILIC (1.7 µm, 2.1 mm x 150 mm; Waters)"	"HILIC"	"NA"	"NA"	""	""	"Mass spectrometry"	"negative"	"50-1200"	"Waters SYNAPT G2-Si HDMS"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"20180924_R014"	"20180924_R014.raw"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls1267_NEG_HILIC_mass_spectrometry_v2_maf.tsv"
"20180924_R015"	"Extraction"	"methanol"	"none"	"NA"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC BEH HILIC (1.7 µm, 2.1 mm x 150 mm; Waters)"	"HILIC"	"NA"	"NA"	""	""	"Mass spectrometry"	"negative"	"50-1200"	"Waters SYNAPT G2-Si HDMS"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"20180924_R015"	"20180924_R015.raw"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls1267_NEG_HILIC_mass_spectrometry_v2_maf.tsv"
"20180924_R016"	"Extraction"	"methanol"	"none"	"NA"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC BEH HILIC (1.7 µm, 2.1 mm x 150 mm; Waters)"	"HILIC"	"NA"	"NA"	""	""	"Mass spectrometry"	"negative"	"50-1200"	"Waters SYNAPT G2-Si HDMS"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"20180924_R016"	"20180924_R016.raw"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls1267_NEG_HILIC_mass_spectrometry_v2_maf.tsv"
"20180924_R017"	"Extraction"	"methanol"	"none"	"NA"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC BEH HILIC (1.7 µm, 2.1 mm x 150 mm; Waters)"	"HILIC"	"NA"	"NA"	""	""	"Mass spectrometry"	"negative"	"50-1200"	"Waters SYNAPT G2-Si HDMS"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"20180924_R017"	"20180924_R017.raw"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls1267_NEG_HILIC_mass_spectrometry_v2_maf.tsv"
"20180924_R018"	"Extraction"	"methanol"	"none"	"NA"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC BEH HILIC (1.7 µm, 2.1 mm x 150 mm; Waters)"	"HILIC"	"NA"	"NA"	""	""	"Mass spectrometry"	"negative"	"50-1200"	"Waters SYNAPT G2-Si HDMS"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"20180924_R018"	"20180924_R018.raw"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls1267_NEG_HILIC_mass_spectrometry_v2_maf.tsv"
"20180924_R019"	"Extraction"	"methanol"	"none"	"NA"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC BEH HILIC (1.7 µm, 2.1 mm x 150 mm; Waters)"	"HILIC"	"NA"	"NA"	""	""	"Mass spectrometry"	"negative"	"50-1200"	"Waters SYNAPT G2-Si HDMS"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"20180924_R019"	"20180924_R019.raw"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls1267_NEG_HILIC_mass_spectrometry_v2_maf.tsv"
"20180924_R020"	"Extraction"	"methanol"	"none"	"NA"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC BEH HILIC (1.7 µm, 2.1 mm x 150 mm; Waters)"	"HILIC"	"NA"	"NA"	""	""	"Mass spectrometry"	"negative"	"50-1200"	"Waters SYNAPT G2-Si HDMS"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"20180924_R020"	"20180924_R020.raw"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls1267_NEG_HILIC_mass_spectrometry_v2_maf.tsv"
